x=507, y=1652..1666
x=595, y=1733..1743
x=489, y=1157..1160
x=496, y=252..256
x=614, y=1882..1895
y=1865, x=535..542
x=489, y=1338..1342
y=816, x=558..561
y=1781, x=544..549
x=528, y=1682..1684
x=469, y=162..169
x=513, y=1521..1529
y=618, x=523..541
x=608, y=1857..1871
x=642, y=163..170
y=1624, x=485..487
y=535, x=600..611
y=457, x=524..549
x=484, y=1301..1303
x=552, y=176..202
x=592, y=302..315
y=492, x=609..624
x=608, y=1694..1705
y=1093, x=481..484
y=1414, x=479..482
y=877, x=621..625
x=466, y=1769..1778
x=484, y=465..491
x=628, y=725..744
y=1528, x=484..494
y=1080, x=557..577
x=516, y=681..694
y=882, x=560..582
x=623, y=1757..1760
x=567, y=589..601
y=1252, x=598..612
y=991, x=554..574
x=547, y=426..429
x=494, y=1402..1407
y=153, x=523..531
x=612, y=1734..1743
x=509, y=926..938
x=535, y=1506..1518
x=569, y=1213..1222
x=605, y=1751..1759
x=568, y=982..985
x=579, y=1544..1552
x=592, y=325..337
x=532, y=1037..1053
y=1581, x=474..483
x=523, y=834..836
x=571, y=848..859
x=587, y=1636..1638
x=517, y=1323..1325
x=479, y=733..758
y=1522, x=616..636
x=500, y=1402..1407
x=605, y=1055..1058
x=628, y=474..489
x=633, y=1816..1828
y=38, x=538..545
x=487, y=349..360
x=540, y=47..53
x=574, y=1187..1198
y=863, x=600..618
y=1157, x=576..584
x=512, y=53..66
x=473, y=940..954
x=629, y=1140..1153
x=593, y=631..650
x=512, y=286..299
x=499, y=1693..1705
x=587, y=931..935
x=495, y=1595..1599
x=477, y=530..543
y=1755, x=531..546
x=586, y=602..609
x=607, y=1815..1828
y=1867, x=642..646
y=1780, x=607..609
x=504, y=1652..1653
x=494, y=210..227
x=544, y=1513..1515
x=605, y=503..519
x=554, y=1080..1087
x=559, y=1441..1449
y=1513, x=542..544
y=1375, x=492..497
x=475, y=393..397
x=489, y=1749..1758
y=1617, x=515..519
y=1529, x=510..513
x=607, y=1790..1799
x=597, y=1378..1389
y=1804, x=602..618
x=558, y=402..411
x=495, y=681..694
y=1722, x=592..610
x=519, y=966..978
x=633, y=1721..1724
x=583, y=1172..1177
y=689, x=546..565
x=600, y=1710..1719
x=531, y=865..881
x=626, y=1602..1606
x=470, y=857..861
x=477, y=1294..1306
x=540, y=1675..1688
x=490, y=856..861
y=665, x=485..563
y=26, x=634..640
x=483, y=1339..1342
x=516, y=1675..1688
y=1201, x=543..555
y=906, x=614..616
y=1641, x=516..596
x=545, y=745..748
y=931, x=469..473
y=511, x=579..588
x=643, y=45..49
x=597, y=798..815
x=522, y=871..873
x=615, y=626..636
x=615, y=1674..1681
x=519, y=1203..1206
x=622, y=1337..1338
y=63, x=468..480
y=411, x=529..531
x=488, y=1366..1369
y=1663, x=562..577
x=586, y=982..998
y=11, x=562..583
x=483, y=1367..1369
x=490, y=1547..1558
x=487, y=1624..1630
y=1331, x=541..553
x=561, y=555..564
x=643, y=585..595
x=629, y=755..766
y=227, x=489..494
y=1269, x=529..545
x=481, y=943..947
x=564, y=527..530
y=1209, x=614..641
y=1390, x=516..535
x=623, y=708..726
y=1596, x=606..624
x=500, y=134..143
x=501, y=988..997
x=640, y=804..808
y=852, x=477..484
y=1210, x=506..529
y=1885, x=569..577
x=637, y=944..948
x=500, y=76..85
x=585, y=1820..1834
x=520, y=1217..1226
x=522, y=1421..1432
y=1307, x=613..622
x=638, y=71..75
x=485, y=1789..1802
x=505, y=1823..1830
x=556, y=1107..1109
x=510, y=241..243
x=515, y=208..211
x=539, y=1256..1265
x=542, y=1237..1247
x=475, y=88..95
x=517, y=309..318
x=599, y=1055..1058
y=1852, x=482..487
y=711, x=562..565
x=637, y=432..437
y=948, x=637..646
x=576, y=1152..1157
y=158, x=508..510
x=479, y=209..234
x=604, y=1381..1384
y=1634, x=476..493
x=487, y=492..504
x=637, y=1405..1432
x=597, y=1014..1031
x=550, y=331..340
y=1248, x=502..510
x=492, y=1865..1883
x=514, y=433..435
x=616, y=1255..1267
y=649, x=600..610
x=610, y=222..229
y=938, x=509..594
x=607, y=1771..1780
y=1890, x=529..550
y=520, x=631..645
y=41, x=495..497
x=598, y=1238..1252
x=469, y=1474..1500
y=1237, x=627..630
x=566, y=150..174
y=1369, x=483..488
y=66, x=491..512
x=519, y=987..997
x=568, y=908..918
x=578, y=1513..1521
x=519, y=1022..1035
y=243, x=503..510
x=592, y=1583..1592
y=411, x=542..558
x=485, y=654..665
y=1431, x=536..541
x=500, y=1152..1163
x=471, y=1280..1285
y=174, x=488..497
y=1552, x=575..579
y=763, x=639..648
y=391, x=514..516
x=593, y=1287..1309
x=472, y=1865..1883
x=642, y=1103..1127
x=638, y=1361..1375
x=552, y=552..561
x=608, y=383..410
x=598, y=1753..1763
y=129, x=601..613
x=614, y=1198..1209
x=497, y=1091..1104
x=516, y=1296..1307
x=545, y=1258..1269
y=1375, x=638..644
x=618, y=799..811
x=485, y=1624..1630
x=536, y=965..978
x=588, y=497..511
x=559, y=674..686
x=579, y=498..511
x=485, y=1768..1778
y=1410, x=569..582
y=340, x=550..559
x=480, y=893..895
x=622, y=49..52
x=553, y=52..55
y=299, x=512..528
x=493, y=1619..1634
x=484, y=1523..1528
x=485, y=210..234
x=538, y=176..202
x=614, y=240..243
x=491, y=367..377
x=610, y=210..215
x=512, y=78..80
x=480, y=614..625
y=1595, x=543..568
y=435, x=514..516
x=549, y=1484..1492
x=607, y=356..370
x=508, y=158..164
x=614, y=1463..1487
y=296, x=472..500
x=538, y=1275..1284
y=543, x=477..559
x=608, y=222..229
y=1310, x=637..639
x=506, y=962..971
x=555, y=423..433
y=586, x=477..499
y=1307, x=516..534
y=636, x=615..637
y=18, x=488..492
y=370, x=599..607
x=639, y=1602..1606
y=194, x=621..623
x=488, y=1405..1421
y=1638, x=572..587
x=649, y=787..792
x=583, y=6..11
x=505, y=119..131
y=1077, x=633..635
x=467, y=1049..1053
x=549, y=426..429
x=566, y=724..734
x=577, y=572..581
x=553, y=742..751
x=555, y=1484..1492
y=349, x=591..603
x=614, y=891..906
y=561, x=474..479
x=628, y=1466..1474
x=635, y=1067..1077
x=491, y=1474..1500
